Date,Open,High,Low,Close,Adj Close,Volume
2019-05-27,14.950000,14.950000,14.670000,14.740000,14.740000,2066010
2019-05-28,14.770000,15.000000,14.650000,14.900000,14.900000,2243026
2019-05-29,14.720000,15.070000,14.660000,14.920000,14.920000,1314353
2019-05-30,14.630000,14.830000,14.570000,14.580000,14.580000,2234716
2019-05-31,14.600000,14.805000,14.340000,14.680000,14.680000,2847814
2019-06-03,14.680000,14.720000,14.200000,14.260000,14.260000,1727446
2019-06-04,13.800000,13.930000,12.860000,13.030000,13.030000,12143734
2019-06-05,13.600000,13.670000,13.300000,13.480000,13.480000,6422263
2019-06-06,13.400000,13.660000,13.310000,13.450000,13.450000,3036642
2019-06-07,13.530000,13.715000,13.480000,13.640000,13.640000,1475541
2019-06-11,13.650000,13.995000,13.650000,13.950000,13.950000,2794980
2019-06-12,14.040000,14.120000,13.795000,13.920000,13.920000,2942516
2019-06-13,14.000000,14.030000,13.800000,13.870000,13.870000,3019421
2019-06-14,14.010000,14.080000,13.870000,14.040000,14.040000,2149308
2019-06-17,13.950000,14.050000,13.830000,13.860000,13.860000,1300023
2019-06-18,13.800000,13.840000,13.400000,13.410000,13.410000,4346479
2019-06-19,13.610000,13.710000,13.500000,13.640000,13.640000,2772508
2019-06-20,13.500000,13.650000,13.460000,13.540000,13.540000,4276044
2019-06-21,13.470000,13.480000,13.160000,13.220000,13.220000,3670786
2019-06-24,13.220000,13.540000,13.220000,13.440000,13.440000,3028861
2019-06-25,13.620000,13.960000,13.620000,13.820000,13.820000,2881425
2019-06-26,13.820000,13.940000,13.550000,13.600000,13.600000,2988504
2019-06-27,13.550000,13.890000,13.530000,13.890000,13.890000,1218380
2019-06-28,13.950000,14.060000,13.730000,13.850000,13.850000,2236578
2019-07-01,13.860000,14.080000,13.820000,13.860000,13.860000,1216207
2019-07-02,13.990000,14.220000,13.840000,13.870000,13.870000,3550152
2019-07-03,14.010000,14.390000,14.005000,14.360000,14.360000,2554868
2019-07-04,14.500000,14.630000,14.190000,14.220000,14.220000,2032216
2019-07-05,14.340000,14.360000,14.140000,14.330000,14.330000,1874419
2019-07-08,14.310000,14.685000,14.300000,14.600000,14.600000,2215792
2019-07-09,14.500000,14.570000,14.360000,14.500000,14.500000,2559606
2019-07-10,15.150000,15.690000,15.100000,15.660000,15.660000,5473086
2019-07-11,15.690000,15.980000,15.690000,15.780000,15.780000,2790063
2019-07-12,15.810000,15.940000,15.790000,15.850000,15.850000,2072985
2019-07-15,15.850000,15.920000,15.800000,15.850000,15.850000,1866984
2019-07-16,15.630000,15.810000,15.560000,15.620000,15.620000,1342667
2019-07-17,15.620000,16.049999,15.620000,16.040001,16.040001,2294140
2019-07-18,15.980000,16.090000,15.840000,15.990000,15.990000,2108579
2019-07-19,16.059999,16.270000,15.970000,16.219999,16.219999,1334310
2019-07-22,16.219999,16.480000,16.209999,16.420000,16.420000,1394256
2019-07-23,16.440001,16.830000,16.389999,16.709999,16.709999,2320195
2019-07-24,16.700001,16.730000,16.250000,16.330000,16.330000,2420398
2019-07-25,16.350000,16.830000,16.344999,16.709999,16.709999,2373206
2019-07-26,16.360001,16.600000,16.355000,16.559999,16.559999,2701025
2019-07-29,16.700001,17.150000,16.660000,17.100000,17.100000,2763805
2019-07-30,17.200001,17.299999,17.030001,17.129999,17.129999,1576998
2019-07-31,17.090000,17.299999,16.980000,17.120001,17.120001,1888882
2019-08-01,16.910000,17.059999,16.830000,16.900000,16.900000,1898745
2019-08-02,16.850000,16.980000,16.650000,16.799999,16.799999,2412906
2019-08-05,16.790001,16.809999,16.355000,16.355000,16.355000,1303841
2019-08-06,15.670000,16.100000,15.350000,16.100000,16.100000,3903556
2019-08-07,16.150000,16.370001,15.670000,15.800000,15.800000,3133778
2019-08-08,15.720000,15.740000,15.205000,15.250000,15.250000,5178661
2019-08-09,15.500000,15.630000,15.150000,15.230000,15.230000,4312081
2019-08-12,15.220000,15.340000,15.020000,15.300000,15.300000,2667664
2019-08-13,15.250000,15.400000,15.160000,15.180000,15.180000,2854611
2019-08-14,15.410000,15.490000,15.200000,15.310000,15.310000,2398520
2019-08-15,14.950000,15.070000,14.840000,14.900000,14.900000,4853377
2019-08-16,14.860000,14.970000,14.740000,14.820000,14.820000,2433864
2019-08-19,15.050000,15.570000,15.050000,15.380000,15.380000,8099533
2019-08-20,15.770000,16.020000,15.590000,16.000000,16.000000,5901336
2019-08-21,14.350000,14.460000,13.320000,13.890000,13.890000,19754680
2019-08-22,14.200000,14.230000,13.620000,13.770000,13.770000,7706570
2019-08-23,13.780000,13.800000,13.230000,13.590000,13.590000,15234512
2019-08-26,13.240000,13.580000,13.150000,13.470000,13.470000,8162046
2019-08-27,13.610000,13.750000,13.450000,13.460000,13.460000,4814804
